id,weight,destinationHubId,priority
PKG-000001,8.04,WH-053,LOW
 PKG-000002 ,135.21,WH-073,LOW
PKG-000003,167.66,WH-010,URGENT
PKG-000004,345.35,WH-046,standard
PKG-000005,469.60,WH-071,STANDARD
 PKG-000006 ,103.3503907020549kg,WH-033,STANDARD
PKG-000007,221.69,WH-088,URGENT
PKG-000008,185.62,wh-061,LOW
PKG-000009,N/A,WH-098,URGENT
pkg-000010,83.82,WH-061,LOW
PKG-000011,261.16,WH-064,URGENT
PKG-000012,32.36,WH-096,URGENT
PKG-000013,371.60,WH-060,standard
PKG-000014,66.43,WH-069,LOW
PKG-000015,204.23,WH-035,STANDARD
PKG-000016,488.17,WH-074,LOW
PKG-000017, 214.8645383289368 ,WH-005,STANDARD
PKG-000018,363.19,WH-028,STANDARD
PKG-000019,86.76,WH-015,URGENT
PKG-000020,93.28,WH-055,LOW
PKG-000021,199.65,WH-083,STANDARD
PKG-000022,395.90,WH-057,STANDARD
PKG-000023,31.16,WH-003,
 PKG-000024 ,331.93,WH-056,LOW
PKG-000025,270.96,WH-063,LOW
PKG-000026,488.79, WH-081 ,URGENT
PKG-000027,379.43,WH-039,LOW
PKG-000028,93.24,WH-002,STANDARD
PKG-000029,81.65,WH-096,STANDARD
PKG-000030,104.79,WH-093,STANDARD
PKG-000031,54.28,WH-064,STANDARD
,30.09,WH-036,STANDARD
PKG-000033,321.24,wh-094,STANDARD
PKG-000034,310.71,WH-029,STANDARD
PKG-000035,null,WH-033,STANDARD
pkg-000036,338.38,WH-038,STANDARD
PKG-000037,104.12,WH-053,STANDARD
PKG-000038,91.05, WH-019 ,STANDARD
PKG-000039,440.51,WH-080,URGENT
PKG-000040,41.83,WH-070,STANDARD
PKG-000041,175.38,WH-080,STANDARD
PKG-000042,270.68,WH-067,LOW

PKG-000043,452.48,WH-054,URGENT
PKG-000044,14.99,WH-057,URGENT
PKG-000045,86.70,WH-094,LOW
PKG-000046,190.65,WH-020,LOW
PKG-000047,354.75,WH-096,LOW
PKG-000048,421.65,WH-032,URGENT
PKG-000049,451.37, WH-065 ,LOW
PKG-000050,216.47,WH-044,URGENT
PKG-000051,62.48,WH-074,urgent
PKG-000052,366.13,WH-087,URGENT
PKG-000053,217.67,WH-087,URGENT
PKG-000054,328.55,WH-033,STANDARD
PKG-000055,N/A,WH-009,STANDARD
PKG-000056,349.65,WH-070,STANDARD
PKG-000057,147.08,WH-026,URGENT
PKG-000058,425.14,WH-019,STANDARD
PKG-000059,450.22,WH-044,LOW
PKG-000060,272.28,WH-069,EXPRESS
PKG-000061,428.28,WH-001,LOW
PKG-000062,null,WH-090,STANDARD
PKG-000063, 236.19895876298804 ,WH-092,URGENT
PKG-000064,361.31,WH-075,LOW
PKG-000065,196.86,WH-054,low
PKG-000066,224.08,WH-001,STANDARD
PKG-000067,171.55,WH-001,LOW
PKG-000068,161.54,WH-082,low
PKG-000069,75.40,WH-013,STANDARD,
PKG-000070,135.47,WH-029,STANDARD
PKG-000071,389.01,WH-063,STANDARD
PKG-000072,355.63,WH-033,URGENT
PKG-000073,,WH-058,URGENT
pkg-000074,471.59,WH-030,LOW
PKG-000075,208.58,WH-076,URGENT
PKG-000076,124.98,WH-090,STANDARD
pkg-000077,93.13,WH-003,NONE
PKG-000078,48.57,WH-005,
PKG-000079,null,WH-100,STANDARD,
PKG-000080,244.43,WH-037,URGENT
PKG-000081,6.07,WH-037,LOW
PKG-000082,254.75,WH-057,URGENT
PKG-000083,94.63,WH-002,LOW
pkg-000084,39.11,WH-080,URGENT
PKG-000085,353.92,wh-042,LOW
PKG-000086,131.31,WH-090,STANDARD
PKG-000087,417.48,WH-070,STANDARD
PKG-000088,88.52,WH-028, STANDARD 
PKG-000089,281.78,WH-042,STANDARD
PKG-000090,12.27,WH-010,LOW

PKG-000091,229.75,WH-069,STANDARD
PKG-000092, 351.16081586463963 ,WH-078,STANDARD
pkg-000093, 298.139959748418 ,WH-070,LOW,
PKG-000094,202.38,WH-056,URGENT
PKG-000095,284.80,WH-005,URGENT
PKG-000096,266.34,WH-018,STANDARD
PKG-000097,289.53,WH-081,STANDARD
PKG-000098,66.73,WH-061,LOW
PKG-000099,null,WH-018,LOW
PKG-000100,208.19,WH-082,STANDARD
PKG-000101,N/A,WH-039,LOW
pkg-000102,323.83,WH-017,URGENT
PKG-000103,402.18,,VIP
PKG-000104,34.65,WH-074,LOW
 PKG-000105 ,314.61,WH-005,VIP
PKG-000106,363.91,WH-021,LOW
PKG-000107,161.26,WH-040,LOW
PKG-000108,461.36,WH-091,STANDARD
PKG-000109,37.25,WH-038,LOW

PKG-000110,326.01,WH-035,STANDARD
pkg-000111,361.65,WH-072,CRITICAL
PKG-000112,356.30,,standard
PKG-000113,27.29,WH-037,LOW
PKG-000114,277.90,WH-089,URGENT
PKG-000115,473.27,WH-037,URGENT
pkg-000116,139.02,WH-081,EXPRESS
PKG-000117,359.18, WH-004 ,urgent
 PKG-000118 ,390.06,WH-039,LOW
PKG-000119,62.80,WH-058,STANDARD
PKG-000120,154.40,WH-089,STANDARD
PKG-000121,180.65,WH-027,STANDARD
PKG-000122,467.84,WH-058, STANDARD 
PKG-000123,297.09,WH-014,STANDARD
PKG-000124,80.07,WH-098,STANDARD
 PKG-000125 ,241.01,WH-073,URGENT
PKG-000126,29.61,WH-017,STANDARD
PKG-000127,177.20,WH-050,low
PKG-000128,498.79, WH-047 ,STANDARD
 PKG-000129 ,495.82,WH-065,URGENT
PKG-000130,452.89,WH-021,
PKG-000131,212.78,WH-098,STANDARD
 PKG-000132 ,329.97,WH-090, STANDARD 
PKG-000133,428.51,WH-054,URGENT
PKG-000134,37.26,WH-023,LOW
PKG-000135,102.34,WH-021,URGENT
 PKG-000136 ,343.26,WH-073,STANDARD
PKG-000137, 95.42968548044591 ,wh-039,LOW
PKG-000138,null,WH-071,URGENT
PKG-000139,379.34,WH-090,URGENT
PKG-000140,469.78,WH-085,URGENT
PKG-000141,481.77,WH-047,URGENT
PKG-000142,170.01,WH-017,LOW
pkg-000143,342.39, WH-015 ,URGENT
PKG-000144,30.58,WH-066,URGENT
PKG-000145,426.55,WH-018,VIP
PKG-000146,60.78,WH-091,LOW
PKG-000147,463.17,WH-070,URGENT
PKG-000148,233.49,WH-005,STANDARD
PKG-000149,97.43,WH-001,STANDARD
PKG-000150,328.27,WH-025, URGENT 
PKG-000151,469.14,WH-019,LOW
PKG-000152,478.97,WH-002,
PKG-000153,38.45,WH-094,
PKG-000154,21.94,WH-002,LOW
PKG-000155,44.48,WH-083,LOW

PKG-000156,92.37,WH-074, LOW 
PKG-000157,191.74, WH-075 , URGENT 
PKG-000158, 69.37475727469241 ,WH-091, STANDARD 
 PKG-000159 ,131.78,WH-008,URGENT
,267.70,WH-043,LOW
PKG-000161,70.43,, URGENT 
PKG-000162,117.61,WH-041,STANDARD
PKG-000163,12.57,WH-003,LOW
PKG-000164,402.78,WH-009,LOW
PKG-000165,312.58,WH-057,URGENT
PKG-000166,146.83,WH-004,
PKG-000167,213.65,WH-099,STANDARD
PKG-000168,284.02,wh-093,STANDARD
PKG-000169,400.02, WH-051 ,STANDARD
PKG-000170,342.27,WH-076,STANDARD
 PKG-000171 ,453.84811033555184kg,WH-062,STANDARD
PKG-000172,73.84,WH-092,VIP
PKG-000173,,WH-093,LOW
PKG-000174,null,WH-013,STANDARD
PKG-000175,171.50,WH-014,LOW
PKG-000176,101.67,WH-017,STANDARD
pkg-000177,496.04,WH-078,LOW
PKG-000178,208.59,WH-026
PKG-000179,58.37, WH-066 ,URGENT
PKG-000180,428.46,WH-059,LOW
PKG-000181,356.21,WH-037,URGENT
PKG-000182,130.07,WH-043,LOW
PKG-000183,450.35,WH-092,LOW
PKG-000184,318.89,WH-039,URGENT
PKG-000185,156.63,WH-090,STANDARD
PKG-000186,,WH-050,LOW
PKG-000187,399.47,WH-032,LOW
PKG-000188,435.46,WH-069,
PKG-000189,N/A,WH-038,URGENT
 PKG-000190 ,51.29,WH-005,STANDARD
PKG-000191,378.97,wh-088,STANDARD
pkg-000192,217.90,WH-078,LOW
PKG-000193,473.70,WH-011,URGENT
PKG-000194,424.66,WH-020,LOW,
PKG-000195,461.70,WH-007,URGENT
PKG-000196,324.51,WH-070,URGENT
PKG-000197,480.84,,LOW
PKG-000198,48.46,WH-067,VIP
 PKG-000199 ,381.76,WH-099,LOW
PKG-000200,134.49,WH-065,URGENT
pkg-000201,119.49,WH-047,LOW
PKG-000202,243.13,,URGENT
PKG-000203,241.28,WH-014,LOW
pkg-000204,160.89, WH-065 ,STANDARD
pkg-000205,396.47,WH-092,STANDARD
 PKG-000206 ,184.05,WH-076,STANDARD
PKG-000207,196.76,WH-089,URGENT
PKG-000208,457.74,WH-006,URGENT
PKG-000209,95.84,WH-048,LOW
PKG-000210,452.77,WH-039,STANDARD
 PKG-000211 ,402.96,WH-014,STANDARD,
PKG-000212,93.40,WH-072,LOW
PKG-000213,N/A,WH-012,STANDARD
PKG-000214,423.74,WH-078,CRITICAL
PKG-000215,485.92,WH-003,URGENT
PKG-000216,75.77,WH-090,CRITICAL
PKG-000217,117.36,WH-060,STANDARD
PKG-000218,448.67,WH-092,URGENT
PKG-000219,107.07,WH-080,LOW
PKG-000220,416.52,WH-035,STANDARD
PKG-000221,332.44, WH-086 ,STANDARD
PKG-000222,180.64,WH-002,STANDARD
PKG-000223,378.31,WH-099,urgent
PKG-000224,168.23,WH-040,LOW
PKG-000225,272.73,WH-059,URGENT
PKG-000226,391.90,WH-064,standard
PKG-000227,3.75,WH-057,URGENT
PKG-000228,55.55,WH-094,STANDARD
PKG-000229,149.33,WH-063,URGENT
PKG-000230,259.26,WH-027,LOW
PKG-000231,154.56,WH-050,STANDARD
PKG-000232,257.14,WH-068,LOW
PKG-000233,324.97,WH-071,LOW
PKG-000234, 207.57849863083922 ,WH-002, URGENT 
PKG-000235,80.44,WH-077,STANDARD
PKG-000236,497.90,WH-041,URGENT
PKG-000237,484.00,WH-019,URGENT
PKG-000238,243.02, WH-062 ,STANDARD
PKG-000239,231.61,WH-072,URGENT
PKG-000240,269.57,WH-073,URGENT
PKG-000241,367.89,WH-044,STANDARD
PKG-000242,135.54,WH-042,LOW
PKG-000243,447.40,WH-092,LOW
PKG-000244,437.75,WH-065,STANDARD
PKG-000245,311.35,WH-094, URGENT 
